str,en_US,en,fr,it,de,nl,es,cy,ca,zh,
search_agreement_by_name,Search Agreement by name,Search Agreement by name,Accord de recherche par nom,Cerca accordo per nome,Vereinbarung nach Namen suchen,Zoekovereenkomst op naam,Acuerdo de búsqueda por nombre,Chwilio Cytundeb yn √¥l enw,,按名称搜索协议,
title,Title,Title,Titre,Titolo,Titel,Titel,Título,Teitl,,标题,
date_created,Date Created,Date Created,Date de création,Data di creazione,Erstellungsdatum,Datum aangemaakt,Fecha de creación,Dyddiad Creu,,创建日期,
created_by,Created By,Created By,Créé par,Creato da,Erstellt von,Gemaakt door,Creado por,Cr√´wyd Gan,,创建者,
file_type,File Type,File Type,Type de fichier,Tipo di file,Dateityp,Bestandstype,Tipo de archivo,Math o Ffeil,,文件类型,
action,Action,Action,Action,Azione,Aktion,Actie,Acción,Gweithred,,行动,
details,Details,Details,Détails,Dettagli,Details,Details,Detalles,Manylion,,细节,
add_new_agreement,Add new Agreement,Add new Agreement,Ajouter un nouvel accord,Aggiungi nuovo accordo,Neue Vereinbarung hinzufügen,Nieuwe overeenkomst toevoegen,Añadir nuevo acuerdo,Ychwanegu Cytundeb newydd,,添加新协议,
update_agreement,Update Agreement,Update Agreement,Accord de mise à jour,Aggiorna accordo,Update-Vereinbarung,Updateovereenkomst,Acuerdo de actualización,Diweddaru Cytundeb,,更新协议,
add_question,Add Question,Add Question,Ajouter une question,Aggiungi domanda,Frage hinzufügen,Vraag toevoegen,Agregar pregunta,Ychwanegu Cwestiwn,,添加问题,
save,Save,Save,Sauvegarder,Salva,Speichern,Redden,Ahorrar,Arbed,,节省,
select_a_location_where_you_want_to_published_agreement,Select a Location where you want to published agreement,Select a Location where you want to published agreement,Sélectionnez un emplacement où vous souhaitez publier l'accord,Seleziona una posizione in cui desideri pubblicare l'accordo,"Wählen Sie einen Ort aus, an dem Sie die Vereinbarung veröffentlichen möchten",Selecteer een locatie waar u de overeenkomst wilt publiceren,Seleccione una ubicación donde desea publicar el acuerdo,Dewiswch Lleoliad lle rydych chi am gyhoeddi cytundeb,,选择您想要发布协议的位置,
agreement_document_file,Agreement document file,Agreement document file,Fichier de document d'accord,File del documento dell'accordo,Vereinbarungsdokumentdatei,Overeenkomstdocumentbestand,Archivo del documento del acuerdo,Ffeil dogfen cytundeb,,协议文件,
pdf_only_and_document_should_be_less_than_15_mb,PDF only and Document should be less than 15 MB,PDF only and Document should be less than 15 MB,PDF uniquement et le document doit faire moins de 15 Mo,Solo PDF e il documento deve essere inferiore a 15 MB,Nur PDF und das Dokument sollte kleiner als 15 MB sein,Alleen PDF en het document mag niet groter zijn dan 15 MB,Solo PDF y el documento debe tener menos de 15 MB,Dylai PDF yn unig a Dogfen fod yn llai na 15 MB,,仅限 PDF，且文档应小于 15 MB,
"add_agreement_document
_drop_file_here","Add Agreement Document
 Drop file here","Add Agreement Document
 Drop file here","Ajouter un document d'accord
Déposer le fichier ici","Aggiungi documento di accordo
Trascina il file qui","Vertragsdokument hinzufügen
Datei hier ablegen","Overeenkomstdocument toevoegen
Sleep het bestand hierheen","Añadir documento de acuerdo
Arrastre el archivo aquí","Ychwanegu Dogfen Gytundeb
 Gollwng ffeil yma",,添加协议文档 将文件拖放到此处,
drop_file_here,Drop file here,Drop file here,Déposez le fichier ici,Trascina il file qui,Datei hier ablegen,Zet het bestand hier neer,Suelte el archivo aquí,Gollwng ffeil yma,,将文件拖放到此处,
accepted_users,Accepted Users,Accepted Users,Utilisateurs acceptés,Utenti accettati,Akzeptierte Benutzer,Geaccepteerde gebruikers,Usuarios aceptados,Defnyddwyr a Dderbynnir,,接受用户,
search_ticket,Search Ticket,Search Ticket,Rechercher un ticket,Cerca biglietto,Ticket suchen,Zoek Ticket,Buscar ticket,Tocyn Chwilio,,搜索票证,
record_not_found,Record Not Found,Record Not Found,Enregistrement non trouvé,Record non trovato,Datensatz nicht gefunden,Record niet gevonden,Registro no encontrado,Cofnod Heb ei Ddarganfod,,未找到记录,
order_id,Order Id,Order Id,ID de commande,ID ordine,Bestellnummer,Bestellings-ID,Identificación del pedido,Id Gorchymyn,,订单编号,
ticket_no,Ticket No.,Ticket No.,Numéro de billet,Numero del biglietto,Ticket-Nr.,Ticketnr.,Número de billete,Tocyn Rhif.,,票号,
event_details,Event Details,Event Details,Détails de l'événement,Dettagli dell'evento,Veranstaltungsdetails,Evenementdetails,Detalles del evento,Manylion y Digwyddiad,,活动详情,
booked_by,Booked By,Booked By,Réservé par,Prenotato da,Gebucht von,Geboekt door,Reservado por,Wedi'i Archebu Gan,,预订人,
booked_at,Booked At,Booked At,Réservé à,Prenotato a,Gebucht am,Geboekt bij,Reservado en,Archebwyd Ar,,预订时间,
no_data_found,No data found,No data found,Aucune donnée trouvée,Nessun dato trovato,Keine Daten gefunden,Geen gegevens gevonden,No se encontraron datos,Heb ganfod data,,未找到数据,
booked,Booked,Booked,Réservé,Prenotato,Gebucht,Geboekt,Reservado,Wedi archebu,,已预订,
are_you_sure_you_want_to_redeem_this_ticket?,Are you sure you want to redeem this ticket?,Are you sure you want to redeem this Ticket?,Etes-vous sûr de vouloir utiliser ce billet ?,Sei sicuro di voler riscattare questo biglietto?,Möchten Sie dieses Ticket wirklich einlösen?,Weet u zeker dat u dit ticket wilt inwisselen?,¿Estás seguro que deseas canjear este billete?,Ydych chi'n si≈µr eich bod am adbrynu'r Tocyn hwn?,,您确定要兑换这张票吗？,
redeem,redeem,redeem,racheter,riscattare,tilgen,inwisselen,canjear,adbrynu,,赎回,
event_title,Event Title,Event Title,Titre de l'événement,Titolo dell'evento,Veranstaltungstitel,Titel van het evenement,Título del evento,Teitl y Digwyddiad,,活动标题,
event_price,Event Price,Event Price,Prix ​​de l'événement,Prezzo dell'evento,Veranstaltungspreis,Evenementprijs,Precio del evento,Pris y Digwyddiad,,活动价格,
event_date,Event date,Event date,Date de l'événement,Data dell'evento,Veranstaltungsdatum,Datum van het evenement,Fecha del evento,Dyddiad digwyddiad,,活动日期,
free,Free,Free,Gratuit,Gratuito,Frei,Vrij,Gratis,Rhad ac am ddim,,自由的,
tickets,Tickets,Tickets,Billets,Biglietti,Tickets,Kaartjes,Entradas,Tocynnau,,门票,
no_events_found,No Events Found,No Events Found,Aucun événement trouvé,Nessun evento trovato,Keine Ereignisse gefunden,Geen evenementen gevonden,No se encontraron eventos,Dim Digwyddiadau Wedi'u Canfod,,未找到任何事件,
create_poll,Create Poll,Create Poll,Créer un sondage,Crea sondaggio,Umfrage erstellen,Poll maken,Crear encuesta,Creu P√¥l,,创建投票,
select_community_for_poll,Select community for poll,Select community for poll,Sélectionnez la communauté pour le sondage,Seleziona la comunità per il sondaggio,Community für Umfrage auswählen,Selecteer community voor poll,Seleccione la comunidad para la encuesta,Dewiswch gymuned ar gyfer pleidleisio,,选择社区进行投票,
we_sent_an_email_confirmation_to,We sent an email confirmation to,We sent an email confirmation to,Nous avons envoyé un e-mail de confirmation à,Abbiamo inviato un'e-mail di conferma a,Wir haben eine E-Mail-Bestätigung gesendet an,We hebben een e-mailbevestiging gestuurd naar,Enviamos un correo electrónico de confirmación a,Anfonwyd cadarnhad e-bost at,,我们发送了电子邮件确认,
poll_name,Poll Name,Poll Name,Nom du sondage,Nome del sondaggio,Umfragename,Pollnaam,Nombre de la encuesta,Enw Pleidlais,,投票名称,
start_time,Start Time,Start Time,Heure de début,Ora di inizio,Startzeit,Starttijd,Hora de inicio,Amser Dechrau,,开始时间,
end_time,End Time,End Time,Fin des temps,Ora di fine,Endzeit,Eindtijd,Fin de los tiempos,Amser Gorffen,,结束时间,
poll_question,Poll Question,Poll Question,Question du sondage,Domanda del sondaggio,Umfragefrage,Pollvraag,Pregunta de la encuesta,Cwestiwn Pleidlais,,民意调查问题,
select_poll_type,Select Poll type,Select Poll type,Sélectionnez le type de sondage,Seleziona il tipo di sondaggio,Umfragetyp auswählen,Selecteer polltype,Seleccione el tipo de encuesta,Dewiswch y math o Bleidlais,,选择投票类型,
poll_options_or_answer,Poll Options or Answer,Poll Options or Answer,Options de sondage ou réponse,Opzioni del sondaggio o risposta,Umfrageoptionen oder Antwort,Poll-opties of antwoord,Opciones de encuesta o respuesta,Dewisiadau Pleidleisio neu Ateb,,投票选项或答案,
search_community,Search community,Search community,Rechercher dans la communauté,Cerca nella comunità,Community durchsuchen,Zoek community,Comunidad de búsqueda,Chwilio cymuned,,搜索社区,
select_a_community_where_you_want_to_share_this_poll,Select a community where you want to share this poll,select a community where you want to share this poll,sélectionnez une communauté avec laquelle vous souhaitez partager ce sondage,seleziona una comunità in cui vuoi condividere questo sondaggio,"Wählen Sie eine Community aus, in der Sie diese Umfrage teilen möchten",Selecteer een community waar u deze poll wilt delen,Selecciona una comunidad donde quieras compartir esta encuesta,dewiswch gymuned lle rydych am rannu'r p√¥l hwn,,选择您想要分享此投票的社区,
option_selection,Option Selection,Option Selection,Sélection d'options,Selezione delle opzioni,Optionsauswahl,Optieselectie,Selección de opciones,Dewis Opsiwn,,选项选择,
multiple_optimal_selection,Multiple Optimal Selection,Multiple Optimal Selection,Sélection optimale multiple,Selezione ottimale multipla,Mehrfache optimale Auswahl,Meervoudige optimale selectie,Selección óptima múltiple,Dewisiad Optimal Lluosog,,多重最优选择,
written_answer,Written Answer,Written Answer,Réponse écrite,Risposta scritta,Schriftliche Antwort,Schriftelijk antwoord,Respuesta escrita,Ateb Ysgrifenedig,,书面答复,
select_issue_date,Select Issue date,Select Issue date,Sélectionnez la date d'émission,Seleziona la data di emissione,Wählen Sie das Ausgabedatum,Selecteer uitgiftedatum,Seleccione la fecha de emisión,Dewiswch Dyddiad cyhoeddi,,选择发行日期,
select_due_date,Select Due date,Select Due date,Sélectionnez la date d'échéance,Seleziona la data di scadenza,Fälligkeitsdatum auswählen,Selecteer vervaldatum,Seleccionar fecha de vencimiento,Dewiswch Dyddiad dyledus,,选择到期日,
select_start_date,Select Start date,Select Start date,Sélectionnez la date de début,Seleziona la data di inizio,Startdatum auswählen,Selecteer startdatum,Seleccione Fecha de inicio,Dewiswch Dyddiad cychwyn,,选择开始日期,
select_interest_related_to_this_event,Select Interest related to this event,Select Interest related to this event,Sélectionnez l'intérêt lié à cet événement,Seleziona l'interesse correlato a questo evento,Wählen Sie Interesse im Zusammenhang mit dieser Veranstaltung,Selecteer interesse gerelateerd aan dit evenement,Seleccione interés relacionado con este evento,Dewiswch Diddordeb sy'n gysylltiedig √¢'r digwyddiad hwn,,选择与此活动相关的兴趣,
error_while_getting_community_list_please_try_again,Error while Getting Community List. Please try again.,Error while Getting Community List. Please try again.,Erreur lors de l'obtention de la liste des communautés. Veuillez réessayer.,Errore durante il recupero dell'elenco della community. Riprova.,Beim Abrufen der Community-Liste ist ein Fehler aufgetreten. Bitte versuchen Sie es erneut.,Fout bij het ophalen van de communitylijst. Probeer het opnieuw.,Error al obtener la lista de la comunidad. Inténtalo de nuevo.,Gwall wrth Gael Rhestr Gymunedol. Ceisiwch eto.,,获取社区列表时出错。请重试。,
error_while_getting_community_list,Error while Getting Community List.,Error while Getting Community List.,Erreur lors de l'obtention de la liste des communautés.,Errore durante il recupero dell'elenco della community.,Fehler beim Abrufen der Community-Liste.,Fout bij het ophalen van de communitylijst.,Error al obtener la lista de la comunidad.,Gwall wrth Gael Rhestr Gymunedol.,,获取社区列表时出错。,
start_date_should_be_less_than_end_date,Start date should be less than end date,Start date should be less than end date,La date de début doit être inférieure à la date de fin,La data di inizio dovrebbe essere inferiore alla data di fine,Das Startdatum muss vor dem Enddatum liegen,De startdatum moet korter zijn dan de einddatum,La fecha de inicio debe ser menor que la fecha de finalización,Dylai'r dyddiad dechrau fod yn llai na'r dyddiad gorffen,,开始日期应早于结束日期,
"end_date_should_be_greater_than_start_date
_required_details","End date should be greater than start date
 Required Details","End date should be greater than start date
 Required Details","La date de fin doit être supérieure à la date de début.
Détails requis","La data di fine deve essere successiva alla data di inizio
Dettagli richiesti","Das Enddatum muss nach dem Startdatum liegen.
Erforderliche Angaben","Einddatum moet later zijn dan startdatum
Vereiste gegevens","La fecha de finalización debe ser posterior a la fecha de inicio.
Detalles obligatorios","Dylai'r dyddiad gorffen fod yn fwy na'r dyddiad dechrau
 Manylion Angenrheidiol",,结束日期应晚于开始日期 必填项,
"please_select_one_community_at_least
_required_details","Please select one community at least.
 Required Details","Please select one community at least.
 Required Details","Veuillez sélectionner au moins une communauté.
Informations requises","Seleziona almeno una comunità.
Dettagli obbligatori","Bitte wählen Sie mindestens eine Community aus.
Erforderliche Angaben","Selecteer minimaal één community.
Vereiste gegevens","Seleccione al menos una comunidad.
Detalles obligatorios","Dewiswch o leiaf un gymuned.
 Manylion Angenrheidiol",,请至少选择一个社区。必填项,
please_add_one_question_at_least,Please add one question at least.,Please add one question at least.,Veuillez ajouter au moins une question.,Aggiungi almeno una domanda.,Bitte fügen Sie mindestens eine Frage hinzu.,Voeg minimaal één vraag toe.,Por favor añade al menos una pregunta.,Ychwanegwch un cwestiwn o leiaf.,,请至少添加一个问题。,
required_details,Required Details,Required Details,Détails requis,Dettagli richiesti,Erforderliche Details,Vereiste gegevens,Detalles requeridos,Manylion Angenrheidiol,,必填信息,
"please_select_end_date
_please_select_start_date","Please select end date.
 Please select start date.","Please select end date.
 Please select start date.","Veuillez sélectionner la date de fin.
Veuillez sélectionner la date de début.","Seleziona la data di fine.
Seleziona la data di inizio.","Bitte wählen Sie das Enddatum.
Bitte wählen Sie das Startdatum.","Selecteer een einddatum.
Selecteer een startdatum.",Seleccione la fecha de finalización. Seleccione la fecha de inicio.,"Dewiswch y dyddiad gorffen.
 Dewiswch y dyddiad cychwyn.",,请选择结束日期。请选择开始日期。,
please_enter_poll_name,Please enter poll name.,Please enter poll name.,Veuillez saisir le nom du sondage.,Inserisci il nome del sondaggio.,Bitte geben Sie den Umfragenamen ein.,Voer een pollnaam in.,Ingrese el nombre de la encuesta.,Rhowch enw'r bleidlais.,,请输入投票名称。,
custom_text,custom_text,custom_text,texte_personnalisé,testo_personalizzato,benutzerdefinierter Text,aangepaste_tekst,texto personalizado,testun_ arfer,,自定义文本,
this_question_already_exist,This question already exist,This question already exist,Cette question existe déjà,Questa domanda esiste già,Diese Frage existiert bereits,Deze vraag bestaat al,Esta pregunta ya existe,Mae'r cwestiwn hwn eisoes yn bodoli,,这个问题已经存在,
please_select_question_answer_type,Please select question answer type,Please select question answer type,Veuillez sélectionner le type de réponse à la question,Seleziona il tipo di risposta alla domanda,Bitte wählen Sie den Frage-Antwort-Typ,Selecteer het type vraagantwoord,Por favor seleccione el tipo de pregunta y respuesta,Dewiswch y math o gwestiwn ateb,,请选择问题答案类型,
please_add_two_option_at_least,Please add two option at least,Please add two option at least,Veuillez ajouter au moins deux options,Si prega di aggiungere almeno due opzioni,Bitte fügen Sie mindestens zwei Optionen hinzu,Voeg minimaal twee opties toe,Por favor agregue al menos dos opciones,Ychwanegwch ddau opsiwn o leiaf,,请至少添加两个选项,
please_enter_question,Please enter question,Please enter question,Veuillez saisir votre question,Inserisci la domanda,Bitte geben Sie eine Frage ein,Voer een vraag in,Por favor ingrese la pregunta,Rhowch gwestiwn,,请输入问题,
audience_poll,Audience poll,Audience poll,Sondage d'audience,Sondaggio del pubblico,Publikumsumfrage,Publiekspeiling,Encuesta de audiencia,P√¥l cynulleidfa,,观众投票,
create_new_poll,Create new poll,Create new Poll,Créer un nouveau sondage,Crea un nuovo sondaggio,Neue Umfrage erstellen,Nieuwe peiling maken,Crear nueva encuesta,Creu P√¥l newydd,,创建新投票,
no_polls_data_found,No polls data found,No polls data found,Aucune donnée de sondage trouvée,Nessun dato sui sondaggi trovato,Keine Umfragedaten gefunden,Geen peilingsgegevens gevonden,No se encontraron datos de encuestas,Ni chanfuwyd unrhyw ddata polau,,未找到民意调查数据,
active,Active,Active,Actif,Attivo,Aktiv,Actief,Activo,Actif,,积极的,
waiting,waiting,waiting,en attendant,in attesa,Warten,wachten,espera,aros,,等待,
poll,poll,poll,sondage,sondaggio,Umfrage,peiling,encuesta,pleidleisio,,轮询,
polls,polls,Polls,Sondages,Sondaggi,Umfragen,peilingen,Centro,Etholiadau,,民意调查,
question_count,Question Count,Question Count,Nombre de questions,Numero di domande,Anzahl der Fragen,Aantal vragen,Número de preguntas,Cyfrif Cwestiynau,,问题数量,
start,Start,Start,Commencer,Inizio,Start,Begin,Comenzar,Cychwyn,,开始,
end,End,End,Fin,FINE,Ende,Einde,Fin,Diwedd,,结尾,
votes,Votes,Votes,Votes,Voti,Stimmen,Stemmen,Votos,Pleidleisiau,,投票,
invoice,Invoice,Invoice,Facture,Fattura,Rechnung,Factuur,Factura,Anfoneb,,发票,
invoice_id,Invoice Id,Invoice Id,ID de facture,ID fattura,Rechnungs-ID,Factuur-ID,Identificación de la factura,Id Anfoneb,,发票编号,
member_information,Member Information,Member Information,Informations sur les membres,Informazioni sui membri,Mitgliedsinformationen,Ledeninformatie,Información del miembro,Gwybodaeth i Aelodau,,会员信息,
"to
_resident","To
 Resident","To
 Resident","À
Résident","A
Residente","An
Bewohner","Aan
Bewoner","Para
Residente","I
 Preswylydd",,致住户,
id_number,ID Number,ID Number,Numéro d'identification,Numero di identificazione,ID-Nummer,ID-nummer,Número de identificación,Rhif ID,,身份证号码,
issue_date,Issue Date,Issue Date,Date d'émission,Data di emissione,Ausgabedatum,Uitgiftedatum,Fecha de asunto,Dyddiad Cyhoeddi,,签发日期,
due_date,Due Date,Due Date,Date d'échéance,Scadenza,Fälligkeitsdatum,Deadline,Fecha de vencimiento,Dyddiad Cwblhau,,到期日,
paid_date,Paid Date,Paid Date,Date de paiement,Data di pagamento,Zahlungsdatum,Betaaldatum,Fecha de pago,Dyddiad Taledig,,付款日期,
period,Period,Period,Période,Periodo,Zeitraum,Periode,Período,Cyfnod,,时期,
vat,Tax,Vat,T.V.A,I.V.A,Mehrwertsteuer,Vat,Tina,Taw,,增值税,
generate_pdf,Generate PDF,Generate PDF,Générer un PDF,Genera PDF,PDF generieren,PDF genereren,Generar PDF,Cynhyrchu PDF,,生成 PDF,
quantity,Quantity,Quantity,Quantité,Quantità,Menge,Hoeveelheid,Cantidad,Nifer,,数量,
subtotal,Subtotal,Subtotal,Total,Subtotale,Zwischensumme,Subtotaal,Total parcial,Is-gyfanswm,,小计,
total_tax,Total Tax,Total Tax,Total des impôts,Imposta totale,Gesamtsteuer,Totale belasting,Impuesto total,Cyfanswm Treth,,总税额,
amount_due,Amount Due,Amount Due,Montant dû,Importo dovuto,Fälliger Betrag,Verschuldigd bedrag,Monto adeudado,Swm Dyledus,,应付金额,
payments,Payments,Payments,Paiements,Pagamenti,Zahlungen,Betalingen,Pagos,Taliadau,,付款,
add_manual_payment,Add Manual Payment,Add Manual Payment,Ajouter un paiement manuel,Aggiungi pagamento manuale,Manuelle Zahlung hinzufügen,Handmatige betaling toevoegen,Agregar pago manual,Ychwanegu Taliad √¢ Llaw,,添加手动付款,
methods,Methods,Methods,Méthodes,Metodi,Methoden,Methoden,Métodos,Dulliau,,方法,
reference,Reference,Reference,Référence,Riferimento,Referenz,Referentie,Referencia,Cyfeiriad,,参考,
date,Date,Date,Date,Data,Datum,Datum,Fecha,Dyddiad,,日期,
amount,Amount,Amount,Montant,Quantità,Menge,Hoeveelheid,Cantidad,Swm,,数量,
export,Export,Export,Exporter,Esportare,Export,Exporteren,Exportar,Allforio,,出口,
settings,Settings,Settings,Paramètres,Impostazioni,Einstellungen,Instellingen,Ajustes,Gosodiadau,,设置,
new_payment,New Payment,New Payment,Nouveau paiement,Nuovo pagamento,Neue Zahlung,Nieuwe betaling,Nuevo pago,Taliad Newydd,,新付款方式,
tenant,Tenant,Tenant,Locataire,Inquilino,Mieter,Huurder,Arrendatario,Tenant,,租户,
payment_date,Payment Date,Payment Date,Date de paiement,Data di pagamento,Zahlungsdatum,Betaaldatum,Fecha de pago,Dyddiad Talu,,付款日期,
payment_method,Payment Method,Payment Method,Mode de paiement,Metodo di pagamento,Zahlungsmethode,Betaalmethode,Método de pago,Dull Talu,,付款方式,
inactive,Inactive,Inactive,Inactif,Inattivo,Inaktiv,Inactief,Inactivo,Anactif,,不活跃,
draft,Draft,Draft,Brouillon,Bozza,Entwurf,Voorlopige versie,Borrador,Drafft,,草稿,
archived,Archived,Archived,Archivé,Archiviato,Archiviert,Gearchiveerd,Archivado,Wedi'i archifo,,已归档,
billing,Billing,Billing,Facturation,Fatturazione,Abrechnung,Facturering,Facturación,Bilio,,计费,
benefits,Benefits,Benefits,Avantages,Benefici,Vorteile,Voordelen,Beneficios,Budd-daliadau,,好处,
student_room,Student room,Student room,Chambre étudiante,Camera per studenti,Studentenzimmer,Studentenkamer,Habitación de estudiantes,Ystafell myfyrwyr,,学生房间,
conference_room,Conference Room,Conference Room,Salle de conférence,Sala conferenze,Konferenzraum,Vergaderruimte,Sala de conferencias,Ystafell Gynadledda,,会议室,
main_enter_gate_1,Main Enter gate 1,Main Enter gate 1,Entrée principale porte 1,Ingresso principale cancello 1,Haupteingangstor 1,Hoofdingang 1,Puerta de entrada principal 1,Prif gi√¢t mynediad 1,,主入口 1 号门,
meeting_conference_room_booking,Meeting Conference room Booking,Meeting Conference room Booking,Réservation de salle de conférence,Prenotazione sala conferenze per riunioni,Meeting Konferenzraum Buchung,Vergadering Conferentieruimte Reserveren,Reserva de salas de reuniones y conferencias,Ystafell Gynadledda Cyfarfod Archebu,,会议会议室预订,
room_booking,Room Booking,Room Booking,Réservation de chambre,Prenotazione della camera,Zimmerbuchung,Kamerreservering,Reserva de habitaciones,Archebu Ystafell,,客房预订,
party_hall_booking,Party Hall Booking,Party Hall Booking,Réservation de salle de fête,Prenotazione sala per feste,Partysaal buchen,Reservering feestzaal,Reserva de salón de fiestas,Archebu Neuadd Barti,,宴会厅预订,
period_between_each_payment,Period between each payment,Period between each payment,Période entre chaque paiement,Periodo tra ogni pagamento,Zeitraum zwischen den einzelnen Zahlungen,Periode tussen elke betaling,Periodo entre cada pago,Y cyfnod rhwng pob taliad,,每次付款之间的时间间隔,
monthly,Monthly,Monthly,Mensuel,Mensile,Monatlich,Maandelijks,Mensual,Yn fisol,,每月,
yearly,Yearly,Yearly,Annuel,Annuale,Jährlich,Jaarlijks,Anual,Yn flynyddol,,每年,
monthly/yearly,Monthly/Yearly,Monthly/Yearly,Mensuel/Annuel,Mensile/Annuale,Monatlich/Jährlich,Maandelijks/Jaarlijks,Mensual/Anual,Misol/Blynyddol,,每月/每年,
discount_type,Discount Type,Discount Type,Type de remise,Tipo di sconto,Rabattart,Kortingstype,Tipo de descuento,Math o Gostyngiad,,折扣类型,
select_user_group,Select User Group,Select User Group,Sélectionner un groupe d'utilisateurs,Seleziona gruppo utenti,Benutzergruppe auswählen,Selecteer gebruikersgroep,Seleccionar grupo de usuarios,Dewiswch Gr≈µp Defnyddwyr,,选择用户组,
selected_file_already_exist_in_list,Selected file already exist in list,Selected file already exist in list,Le fichier sélectionné existe déjà dans la liste,Il file selezionato esiste già nell'elenco,Die ausgewählte Datei ist bereits in der Liste vorhanden.,Geselecteerd bestand bestaat al in de lijst,El archivo seleccionado ya existe en la lista,Mae'r ffeil a ddewiswyd eisoes yn bodoli yn y rhestr,,选定的文件已存在于列表中,
you_can_selected_only_three_files,You can selected only three files,You can selected only three files,Vous ne pouvez sélectionner que trois fichiers,Puoi selezionare solo tre file,Sie können nur drei Dateien auswählen,U kunt slechts drie bestanden selecteren,Puedes seleccionar solo tres archivos,Dim ond tair ffeil y gallwch chi eu dewis,,您只能选择三个文件,
alert,Alert,Alert,Alerte,Attenzione,Alarm,Waarschuwing,Alerta,Rhybudd,,警报,
memberships_term_removed,Memberships Term removed,Memberships Term removed,Adhésions Terme supprimé,Termine di appartenenza rimosso,Mitgliedschaften Laufzeit entfernt,Lidmaatschapstermijn verwijderd,Se eliminó el plazo de membresía,Tynnwyd y tymor aelodaeth,,会员期限已删除,
enter_a_plan_name,Enter a plan name,Enter a plan name,Entrez un nom de plan,Inserisci un nome per il piano,Geben Sie einen Plannamen ein,Voer een plannaam in,Introduzca un nombre de plan,Rhowch enw cynllun,,输入计划名称,
select_user_group,Select User Group,Select User Group,Sélectionner un groupe d'utilisateurs,Seleziona gruppo utenti,Benutzergruppe auswählen,Selecteer gebruikersgroep,Seleccionar grupo de usuarios,Dewiswch Gr≈µp Defnyddwyr,,选择用户组,
select_period_between_each_payment,Select Period between each payment,Select Period between each payment,Sélectionnez la période entre chaque paiement,Seleziona il periodo tra ogni pagamento,Wählen Sie den Zeitraum zwischen den einzelnen Zahlungen,Selecteer de periode tussen elke betaling,Seleccione el período entre cada pago,Dewiswch Cyfnod rhwng pob taliad,,选择每次付款之间的时间间隔,
please_enter_description,Please enter description,Please enter description,Veuillez entrer une description,Inserisci una descrizione,Bitte geben Sie eine Beschreibung ein,Voer een beschrijving in,Por favor ingrese una descripción,Rhowch ddisgrifiad,,请输入描述,
please_select_header_image,Please select header image,Please select header image,Veuillez sélectionner l'image d'en-tête,Seleziona l'immagine dell'intestazione,Bitte wählen Sie ein Headerbild aus,Selecteer de headerafbeelding,Por favor seleccione la imagen del encabezado,Dewiswch ddelwedd pennyn,,请选择标题图片,
please_enter_tax_type,Please enter tax type,Please enter tax type,Veuillez saisir le type de taxe,Inserisci il tipo di imposta,Bitte geben Sie die Steuerart ein,Voer het belastingtype in,"Por favor, introduzca el tipo de impuesto",Nodwch y math o dreth,,请输入税种,
error_while_saving,Error while saving.,Error while saving.,Erreur lors de l'enregistrement.,Errore durante il salvataggio.,Fehler beim Speichern.,Fout bij het opslaan.,Error al guardar.,Gwall wrth gadw.,,保存时出错。,
error_while_getting_location_list,Error while getting location list,Error while Getting Location List.,Erreur lors de l'obtention de la liste des emplacements.,Errore durante il recupero dell'elenco delle posizioni.,Fehler beim Abrufen der Standortliste.,Fout bij het ophalen van de locatielijst.,Error al obtener la lista de ubicaciones.,Gwall wrth Gael Rhestr Lleoliadau.,,获取位置列表时出错。,
memberships_details,Memberships Details,Memberships Details,Détails des adhésions,Dettagli sulle iscrizioni,Mitgliedschaftsdetails,Lidmaatschapsdetails,Detalles de membresías,Manylion Aelodaeth,,会员详情,
available_for,Available for,Available for,Disponible pour,Disponibile per,Verfügbar für,Beschikbaar voor,Disponible para,Ar gael ar gyfer,,适用于,
registered_members,Registered Members,Registered Members,Membres enregistrés,Membri registrati,Registrierte Mitglieder,Geregistreerde leden,Miembros registrados,Aelodau Cofrestredig,,注册会员,
membership_includes,Membership Includes,Membership Includes,L'adhésion comprend,L'iscrizione include,Die Mitgliedschaft beinhaltet,Het lidmaatschap omvat,La membresía incluye,Aelodaeth yn cynnwys,,会员资格包括,
price_details,Price Details,Price Details,Détails des prix,Dettagli del prezzo,Preisdetails,Prijsdetails,Detalles de precios,Manylion Pris,,价格详情,
setup_fee,Setup Fee,Setup Fee,Frais d'installation,Costo di installazione,Einrichtungsgebühr,Installatiekosten,Tarifa de instalación,Ffi Gosod,,安装费,
price_per_month,Price per month,Price per month,Prix ​​par mois,Prezzo al mese,Preis pro Monat,Prijs per maand,Precio por mes,Pris y mis,,每月价格,
price_per_year,Price per year,Price per year,Prix ​​par an,Prezzo all'anno,Preis pro Jahr,Prijs per jaar,Precio por año,Pris y flwyddyn,,每年价格,
required_legal_documents,Required Legal Documents,Required Legal Documents,Documents juridiques requis,Documenti legali richiesti,Erforderliche Rechtsdokumente,Vereiste juridische documenten,Documentos legales requeridos,Dogfennau Cyfreithiol Angenrheidiol,,所需法律文件,
available_across_locations,Available Across Locations,Available Across Locations,Disponible dans tous les emplacements,Disponibile in tutte le sedi,Standortübergreifend verfügbar,Beschikbaar op alle locaties,Disponible en todas las ubicaciones,Ar gael ar draws Lleoliadau,,跨地区提供,
